,title,cast,listed_in,cast_count,rating,release_year
80,Leap Year,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott","Comedies, Romantic Movies",10.0,PG,2010
81,SunGanges,Naseeruddin Shah,"Documentaries, International Movies",1.0,TV-PG,2018
82,The 24 Hour War,,"Documentaries, Sports Movies",,TV-14,2016
83,The Garden of Words,"Miyu Irino, Kana Hanazawa, Fumi Hirano, Takeshi Maeda, Yuka Terasaki, Takanori Hoshino, Suguru Inoue, Megumi Han, Mikako Komatsu, Yuki Hayashi","Anime Features, International Movies, Romantic Movies",10.0,TV-14,2013
84,Clarence Clemons: Who Do I Think I Am?,Clarence Clemons,"Documentaries, Music & Musicals",1.0,TV-MA,2019
85,Fadily Camara : La plus drôle de tes copines,Fadily Camara,Stand-Up Comedy,1.0,TV-MA,2019
86,Jeff Garlin: Our Man In Chicago,Jeff Garlin,Stand-Up Comedy,1.0,TV-MA,2019
87,A Single Man,"Colin Firth, Julianne Moore, Nicholas Hoult, Ginnifer Goodwin, Matthew Goode, Paul Butler, Ryan Simpkins, Teddy Sears, Paulette Lamori, Jon Kortajarena","Dramas, Independent Movies, LGBTQ Movies",10.0,R,2009
88,Submission,"Scott Pryor, Darrin Dewitt Henson, Eric Roberts, Kevin Sizemore, Lorynn York, John Gray, Sara McMann, Ovince Saint Preux","Action & Adventure, Dramas",8.0,TV-MA,2019
89,To Be of Service,,Documentaries,,TV-MA,2019
90,Hit & Run,"Kristen Bell, Dax Shepard, Kristin Chenoweth, Tom Arnold, Bradley Cooper, Jess Rowland, Ryan Hansen, Beau Bridges, Michael Rosenbaum, David Koechner, Joy Bryant","Action & Adventure, Comedies, Romantic Movies",11.0,R,2012
91,Let It Snow,"Isabela Moner, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack, Matthew Noszka, Anna Akana, Miles Robbins, D'Arcy Carden, Mason Gooding, Andrea De Oliveira, Victor Rivers","Comedies, Dramas, LGBTQ Movies",15.0,PG-13,2019
92,Paradise Beach,"Sami Bouajila, Tewfik Jallab, Mélanie Doutey, Hugo Becker, Kool Shen, Hubert Koundé, Seth Gueko, Sonia Couling, Chalad Na Songkhla, Flore Bonaventura, Nessbeal, Dorian N'Goumou dit Dosseh, Hache-P","Action & Adventure, Dramas, International Movies",13.0,TV-MA,2019
93,U Turn,"Roger Narayan, Shraddha Srinath, Dileep Raj, Krishna Hebbale, Ram Manjjonaath, Chethan Dsouza","International Movies, Thrillers",6.0,TV-14,2016
94,Burning Cane,"Wendell Pierce, Karen Kaia Livers, Dominique McClellan, Braelyn Kelly, Emyri Crutchfield, Cynthia Capers, Erika Woods",Dramas,7.0,TV-MA,2019
